$ ./rmqsmoke tx
2020/08/20 13:29:37 connecting to amqp://rmq:sekrit@localhost:25672/...
2020/08/20 13:29:37 opening comms channel...
2020/08/20 13:29:37 TX: sending messages to rmq-default via rmq-default...
2020/08/20 13:29:37 initiating TX ->rmq-default @0|0
2020/08/20 13:32:44 --[ tx.START    17   0% ]----------
2020/08/20 13:32:55 --[ tx.COMPLETE 17 100% ]----------
2020/08/20 13:32:55 --[ tx.START    18   0% ]----------
2020/08/20 13:33:04 --[ tx.COMPLETE 18 100% ]----------
2020/08/20 13:33:04 --[ tx.START    19   0% ]----------
2020/08/20 13:33:12 --[ tx.COMPLETE 19 100% ]----------
2020/08/20 13:33:12 --[ tx.START    20   0% ]----------
2020/08/20 13:33:21 --[ tx.COMPLETE 20 100% ]----------
2020/08/20 13:33:21 --[ tx.START    21   0% ]----------
2020/08/20 13:33:35 --[ tx.COMPLETE 21 100% ]----------
2020/08/20 13:33:35 --[ tx.START    22   0% ]----------
2020/08/20 13:33:48 --[ tx.COMPLETE 22 100% ]----------
2020/08/20 13:33:48 --[ tx.START    23   0% ]----------
2020/08/20 13:34:02 --[ tx.COMPLETE 23 100% ]----------
2020/08/20 13:34:02 --[ tx.START    24   0% ]----------
2020/08/20 13:34:11 --[ tx.COMPLETE 24 100% ]----------
2020/08/20 13:34:11 --[ tx.START    25   0% ]----------
2020/08/20 13:34:20 --[ tx.COMPLETE 25 100% ]----------
2020/08/20 13:34:20 --[ tx.START    26   0% ]----------
2020/08/20 13:34:28 --[ tx.COMPLETE 26 100% ]----------
2020/08/20 13:34:28 --[ tx.START    27   0% ]----------
2020/08/20 13:34:36 --[ tx.COMPLETE 27 100% ]----------
2020/08/20 13:34:36 --[ tx.START    28   0% ]----------
2020/08/20 13:34:45 --[ tx.COMPLETE 28 100% ]----------
2020/08/20 13:34:45 --[ tx.START    29   0% ]----------
2020/08/20 13:34:53 --[ tx.COMPLETE 29 100% ]----------
2020/08/20 13:34:53 --[ tx.START    30   0% ]----------
2020/08/20 13:35:01 --[ tx.COMPLETE 30 100% ]----------
2020/08/20 13:35:01 --[ tx.START    31   0% ]----------
2020/08/20 13:35:09 --[ tx.COMPLETE 31 100% ]----------
2020/08/20 13:35:09 --[ tx.START    32   0% ]----------
2020/08/20 13:35:17 --[ tx.COMPLETE 32 100% ]----------
2020/08/20 13:35:17 --[ tx.START    33   0% ]----------
2020/08/20 13:35:25 --[ tx.COMPLETE 33 100% ]----------
2020/08/20 13:35:25 --[ tx.START    34   0% ]----------
2020/08/20 13:35:32 --[ tx.COMPLETE 34 100% ]----------
2020/08/20 13:35:32 --[ tx.START    35   0% ]----------
2020/08/20 13:35:40 --[ tx.COMPLETE 35 100% ]----------
2020/08/20 13:35:40 --[ tx.START    36   0% ]----------
2020/08/20 13:35:47 --[ tx.COMPLETE 36 100% ]----------
2020/08/20 13:35:47 --[ tx.START    37   0% ]----------
2020/08/20 13:35:55 --[ tx.COMPLETE 37 100% ]----------
2020/08/20 13:35:55 --[ tx.START    38   0% ]----------
2020/08/20 13:36:04 --[ tx.COMPLETE 38 100% ]----------
2020/08/20 13:36:04 --[ tx.START    39   0% ]----------
2020/08/20 13:36:11 --[ tx.COMPLETE 39 100% ]----------
2020/08/20 13:36:11 --[ tx.START    40   0% ]----------
2020/08/20 13:36:19 --[ tx.COMPLETE 40 100% ]----------
2020/08/20 13:36:19 --[ tx.START    41   0% ]----------
2020/08/20 13:36:27 --[ tx.COMPLETE 41 100% ]----------
2020/08/20 13:36:27 --[ tx.START    42   0% ]----------
2020/08/20 13:36:35 --[ tx.COMPLETE 42 100% ]----------
2020/08/20 13:36:35 --[ tx.START    43   0% ]----------
2020/08/20 13:36:43 --[ tx.COMPLETE 43 100% ]----------
2020/08/20 13:36:43 --[ tx.START    44   0% ]----------
2020/08/20 13:36:51 --[ tx.COMPLETE 44 100% ]----------
2020/08/20 13:36:51 --[ tx.START    45   0% ]----------
2020/08/20 13:37:00 --[ tx.COMPLETE 45 100% ]----------
2020/08/20 13:37:00 --[ tx.START    46   0% ]----------
2020/08/20 13:37:08 --[ tx.COMPLETE 46 100% ]----------
2020/08/20 13:37:08 --[ tx.START    47   0% ]----------
2020/08/20 13:37:15 --[ tx.COMPLETE 47 100% ]----------
2020/08/20 13:37:15 --[ tx.START    48   0% ]----------
2020/08/20 13:37:24 --[ tx.COMPLETE 48 100% ]----------
2020/08/20 13:37:24 --[ tx.START    49   0% ]----------
2020/08/20 13:37:37 --[ tx.COMPLETE 49 100% ]----------
2020/08/20 13:37:37 --[ tx.START    50   0% ]----------
2020/08/20 13:37:50 --[ tx.COMPLETE 50 100% ]----------
2020/08/20 13:37:50 --[ tx.START    51   0% ]----------
2020/08/20 13:38:07 --[ tx.COMPLETE 51 100% ]----------
2020/08/20 13:38:07 --[ tx.START    52   0% ]----------
2020/08/20 13:38:22 --[ tx.COMPLETE 52 100% ]----------
2020/08/20 13:38:22 --[ tx.START    53   0% ]----------
2020/08/20 13:38:38 --[ tx.COMPLETE 53 100% ]----------
2020/08/20 13:38:38 --[ tx.START    54   0% ]----------
2020/08/20 13:38:51 --[ tx.COMPLETE 54 100% ]----------
2020/08/20 13:38:51 --[ tx.START    55   0% ]----------
2020/08/20 13:39:02 --[ tx.COMPLETE 55 100% ]----------
2020/08/20 13:39:02 --[ tx.START    56   0% ]----------
2020/08/20 13:39:14 --[ tx.COMPLETE 56 100% ]----------
2020/08/20 13:39:14 --[ tx.START    57   0% ]----------
2020/08/20 13:39:26 --[ tx.COMPLETE 57 100% ]----------
2020/08/20 13:39:26 --[ tx.START    58   0% ]----------
2020/08/20 13:39:41 --[ tx.COMPLETE 58 100% ]----------
2020/08/20 13:39:41 --[ tx.START    59   0% ]----------
2020/08/20 13:39:56 --[ tx.COMPLETE 59 100% ]----------
2020/08/20 13:39:56 --[ tx.START    60   0% ]----------
2020/08/20 13:40:11 --[ tx.COMPLETE 60 100% ]----------
2020/08/20 13:40:11 --[ tx.START    61   0% ]----------
2020/08/20 13:40:21 --[ tx.COMPLETE 61 100% ]----------
2020/08/20 13:40:21 --[ tx.START    62   0% ]----------
2020/08/20 13:40:32 --[ tx.COMPLETE 62 100% ]----------
2020/08/20 13:40:32 --[ tx.START    63   0% ]----------
2020/08/20 13:40:43 --[ tx.COMPLETE 63 100% ]----------
2020/08/20 13:40:43 --[ tx.START    64   0% ]----------
2020/08/20 13:40:54 --[ tx.COMPLETE 64 100% ]----------
2020/08/20 13:40:54 --[ tx.START    65   0% ]----------
2020/08/20 13:41:10 --[ tx.COMPLETE 65 100% ]----------
2020/08/20 13:41:10 --[ tx.START    66   0% ]----------
2020/08/20 13:41:26 --[ tx.COMPLETE 66 100% ]----------
2020/08/20 13:41:26 --[ tx.START    67   0% ]----------
2020/08/20 13:41:39 --[ tx.COMPLETE 67 100% ]----------
2020/08/20 13:41:39 --[ tx.START    68   0% ]----------
2020/08/20 13:41:50 --[ tx.COMPLETE 68 100% ]----------
2020/08/20 13:41:50 --[ tx.START    69   0% ]----------

2020/08/20 13:41:55 last sent '69|673'
2020/08/20 13:41:55 connecting to amqp://rmq:sekrit@localhost:25672/...
2020/08/20 13:41:55 opening comms channel...
2020/08/20 13:41:55 TX: sending messages to rmq-default via rmq-default...
2020/08/20 13:41:56 initiating TX ->rmq-default @69|673
2020/08/20 13:41:58 --[ tx.COMPLETE 69 100% ]----------
2020/08/20 13:41:58 --[ tx.START    70   0% ]----------
2020/08/20 13:42:07 --[ tx.COMPLETE 70 100% ]----------
2020/08/20 13:42:07 --[ tx.START    71   0% ]----------
2020/08/20 13:42:15 --[ tx.COMPLETE 71 100% ]----------
2020/08/20 13:42:15 --[ tx.START    72   0% ]----------
2020/08/20 13:42:24 --[ tx.COMPLETE 72 100% ]----------
2020/08/20 13:42:24 --[ tx.START    73   0% ]----------
2020/08/20 13:42:33 --[ tx.COMPLETE 73 100% ]----------
2020/08/20 13:42:33 --[ tx.START    74   0% ]----------
2020/08/20 13:42:41 --[ tx.COMPLETE 74 100% ]----------
2020/08/20 13:42:41 --[ tx.START    75   0% ]----------
2020/08/20 13:42:50 --[ tx.COMPLETE 75 100% ]----------
2020/08/20 13:42:50 --[ tx.START    76   0% ]----------
2020/08/20 13:42:58 --[ tx.COMPLETE 76 100% ]----------
2020/08/20 13:42:58 --[ tx.START    77   0% ]----------
2020/08/20 13:43:06 --[ tx.COMPLETE 77 100% ]----------
2020/08/20 13:43:06 --[ tx.START    78   0% ]----------
2020/08/20 13:43:14 --[ tx.COMPLETE 78 100% ]----------
2020/08/20 13:43:14 --[ tx.START    79   0% ]----------
2020/08/20 13:43:22 --[ tx.COMPLETE 79 100% ]----------
2020/08/20 13:43:22 --[ tx.START    80   0% ]----------
2020/08/20 13:43:32 --[ tx.COMPLETE 80 100% ]----------
2020/08/20 13:43:32 --[ tx.START    81   0% ]----------
2020/08/20 13:43:41 --[ tx.COMPLETE 81 100% ]----------
2020/08/20 13:43:41 --[ tx.START    82   0% ]----------
2020/08/20 13:43:48 --[ tx.COMPLETE 82 100% ]----------
2020/08/20 13:43:48 --[ tx.START    83   0% ]----------
2020/08/20 13:43:56 --[ tx.COMPLETE 83 100% ]----------
2020/08/20 13:43:56 --[ tx.START    84   0% ]----------
2020/08/20 13:44:04 --[ tx.COMPLETE 84 100% ]----------
2020/08/20 13:44:04 --[ tx.START    85   0% ]----------
2020/08/20 13:44:12 --[ tx.COMPLETE 85 100% ]----------
2020/08/20 13:44:12 --[ tx.START    86   0% ]----------
2020/08/20 13:44:19 --[ tx.COMPLETE 86 100% ]----------
2020/08/20 13:44:19 --[ tx.START    87   0% ]----------
2020/08/20 13:44:27 --[ tx.COMPLETE 87 100% ]----------
2020/08/20 13:44:27 --[ tx.START    88   0% ]----------
2020/08/20 13:44:36 --[ tx.COMPLETE 88 100% ]----------
2020/08/20 13:44:36 --[ tx.START    89   0% ]----------
2020/08/20 13:44:44 --[ tx.COMPLETE 89 100% ]----------
2020/08/20 13:44:44 --[ tx.START    90   0% ]----------
2020/08/20 13:44:52 --[ tx.COMPLETE 90 100% ]----------
2020/08/20 13:44:52 --[ tx.START    91   0% ]----------
2020/08/20 13:44:59 --[ tx.COMPLETE 91 100% ]----------
2020/08/20 13:44:59 --[ tx.START    92   0% ]----------
2020/08/20 13:45:07 --[ tx.COMPLETE 92 100% ]----------
2020/08/20 13:45:07 --[ tx.START    93   0% ]----------
2020/08/20 13:45:16 --[ tx.COMPLETE 93 100% ]----------
2020/08/20 13:45:16 --[ tx.START    94   0% ]----------
2020/08/20 13:45:25 --[ tx.COMPLETE 94 100% ]----------
2020/08/20 13:45:25 --[ tx.START    95   0% ]----------
2020/08/20 13:45:34 --[ tx.COMPLETE 95 100% ]----------
2020/08/20 13:45:34 --[ tx.START    96   0% ]----------
2020/08/20 13:45:43 --[ tx.COMPLETE 96 100% ]----------
2020/08/20 13:45:43 --[ tx.START    97   0% ]----------
2020/08/20 13:45:51 --[ tx.COMPLETE 97 100% ]----------
2020/08/20 13:45:51 --[ tx.START    98   0% ]----------
2020/08/20 13:46:00 --[ tx.COMPLETE 98 100% ]----------
2020/08/20 13:46:00 --[ tx.START    99   0% ]----------
2020/08/20 13:46:08 --[ tx.COMPLETE 99 100% ]----------
2020/08/20 13:46:08 --[ tx.START    100   0% ]----------
2020/08/20 13:46:16 --[ tx.COMPLETE 100 100% ]----------
2020/08/20 13:46:16 --[ tx.START    101   0% ]----------
2020/08/20 13:46:24 --[ tx.COMPLETE 101 100% ]----------
2020/08/20 13:46:24 --[ tx.START    102   0% ]----------
2020/08/20 13:46:32 --[ tx.COMPLETE 102 100% ]----------
2020/08/20 13:46:32 --[ tx.START    103   0% ]----------
2020/08/20 13:46:41 --[ tx.COMPLETE 103 100% ]----------
2020/08/20 13:46:41 --[ tx.START    104   0% ]----------
2020/08/20 13:46:49 --[ tx.COMPLETE 104 100% ]----------
2020/08/20 13:46:49 --[ tx.START    105   0% ]----------
2020/08/20 13:46:57 --[ tx.COMPLETE 105 100% ]----------
2020/08/20 13:46:57 --[ tx.START    106   0% ]----------
2020/08/20 13:47:05 --[ tx.COMPLETE 106 100% ]----------
2020/08/20 13:47:05 --[ tx.START    107   0% ]----------
2020/08/20 13:47:13 --[ tx.COMPLETE 107 100% ]----------
2020/08/20 13:47:13 --[ tx.START    108   0% ]----------
2020/08/20 13:47:21 --[ tx.COMPLETE 108 100% ]----------
2020/08/20 13:47:21 --[ tx.START    109   0% ]----------
2020/08/20 13:47:28 --[ tx.COMPLETE 109 100% ]----------
2020/08/20 13:47:28 --[ tx.START    110   0% ]----------
2020/08/20 13:47:36 --[ tx.COMPLETE 110 100% ]----------
2020/08/20 13:47:36 --[ tx.START    111   0% ]----------
2020/08/20 13:47:45 --[ tx.COMPLETE 111 100% ]----------
2020/08/20 13:47:45 --[ tx.START    112   0% ]----------
2020/08/20 13:47:54 --[ tx.COMPLETE 112 100% ]----------
2020/08/20 13:47:54 --[ tx.START    113   0% ]----------
2020/08/20 13:48:01 --[ tx.COMPLETE 113 100% ]----------
2020/08/20 13:48:01 --[ tx.START    114   0% ]----------
2020/08/20 13:48:10 --[ tx.COMPLETE 114 100% ]----------
2020/08/20 13:48:10 --[ tx.START    115   0% ]----------
2020/08/20 13:48:20 --[ tx.COMPLETE 115 100% ]----------
2020/08/20 13:48:20 --[ tx.START    116   0% ]----------
2020/08/20 13:48:29 --[ tx.COMPLETE 116 100% ]----------
2020/08/20 13:48:29 --[ tx.START    117   0% ]----------
2020/08/20 13:48:38 --[ tx.COMPLETE 117 100% ]----------
2020/08/20 13:48:38 --[ tx.START    118   0% ]----------
2020/08/20 13:48:47 --[ tx.COMPLETE 118 100% ]----------
2020/08/20 13:48:47 --[ tx.START    119   0% ]----------
2020/08/20 13:48:57 --[ tx.COMPLETE 119 100% ]----------
2020/08/20 13:48:57 --[ tx.START    120   0% ]----------
2020/08/20 13:49:05 --[ tx.COMPLETE 120 100% ]----------
2020/08/20 13:49:05 --[ tx.START    121   0% ]----------
2020/08/20 13:49:14 --[ tx.COMPLETE 121 100% ]----------
